,address,addressaccuracy,addressnumberandstreet,avgspeed_x,avgspeed_y,block,codesum_x,codesum_y,cool_x,cool_y,date,day,depart_x,depart_y,depth_x,depth_y,dewpoint_x,dewpoint_y,distance,heat_x,heat_y,index,latitude,longitude,month,nummosquitos,preciptotal_x,preciptotal_y,resultdir_x,resultdir_y,resultspeed_x,resultspeed_y,sealevel_x,sealevel_y,snowfall_x,snowfall_y,species_culex_pipiens,species_culex_pipiens/restuans,species_culex_restuans,species_culex_salinarius,species_culex_tarsalis,species_culex_territans,stnpressure_x,stnpressure_y,street,sunrise_x,sunrise_y,sunset_x,sunset_y,tavg_x,tavg_y,tmax_x,tmax_y,tmin_x,tmin_y,trap,water1_x,water1_y,wetbulb_x,wetbulb_y,wnvpresent,year,dist_species_culex_pipiens,dist_species_culex_pipiens/restuans,dist_species_culex_restuans,dist_species_culex_salinarius,dist_species_culex_tarsalis,dist_species_culex_territans
10,"2100 North Stave Street, Chicago, IL 60647, USA",8,"2100  N STAVE ST, Chicago, IL",6.5,7.4,9,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.9516168933198454,0,0,,41.919343,-87.694259,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44,45,421,-1,1917,-1,74,77,88,88,60,65,37,-1,-1,65,66,0.0,2007.0,0.0,0.9516168933198454,0.0,0.0,0.0,0.0
11,"2200 North Cannon Drive, Chicago, IL 60614, USA",8,"2200  N CANNON DR, Chicago, IL",6.5,7.4,10,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.771748893100298,0,0,,41.921965,-87.632085,5.0,2,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44,18,421,-1,1917,-1,74,77,88,88,60,65,39,-1,-1,65,66,0.0,2007.0,0.0,1.771748893100298,0.0,0.0,0.0,0.0
12,"2200 North Cannon Drive, Chicago, IL 60614, USA",8,"2200  N CANNON DR, Chicago, IL",6.5,7.4,10,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.771748893100298,0,0,,41.921965,-87.632085,5.0,3,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44,18,421,-1,1917,-1,74,77,88,88,60,65,39,-1,-1,65,66,0.0,2007.0,0.0,0.0,1.771748893100298,0.0,0.0,0.0
13,"2200 West 113th Street, Chicago, IL 60643, USA",8,"2200  W 113TH ST, Chicago, IL",6.5,7.4,10,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.6651625166241055,0,0,,41.688324,-87.676709,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44,95,421,-1,1917,-1,74,77,88,88,60,65,64,-1,-1,65,66,0.0,2007.0,0.0,1.6651625166241055,0.0,0.0,0.0,0.0
14,"2200 West 113th Street, Chicago, IL 60643, USA",8,"2200  W 113TH ST, Chicago, IL",6.5,7.4,10,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.6651625166241055,0,0,,41.688324,-87.676709,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44,95,421,-1,1917,-1,74,77,88,88,60,65,64,-1,-1,65,66,0.0,2007.0,0.0,0.0,1.6651625166241055,0.0,0.0,0.0
15,"1100 South Peoria Street, Chicago, IL 60608, USA",8,"1100  S PEORIA ST, Chicago, IL",6.5,7.4,1,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.4325000308422921,0,0,,41.862292,-87.64886,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44,81,421,-1,1917,-1,74,77,88,88,60,65,68,-1,-1,65,66,0.0,2007.0,0.0,0.0,0.4325000308422921,0.0,0.0,0.0
16,"1700 West 95th Street, Chicago, IL 60643, USA",9,"1700  W 95TH ST, Chicago, IL",6.5,7.4,6,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.8452131933271306,0,0,,41.720848,-87.666014,5.0,3,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44,112,421,-1,1917,-1,74,77,88,88,60,65,70,-1,-1,65,66,0.0,2007.0,0.0,0.0,0.8452131933271306,0.0,0.0,0.0
17,"2200 West 89th Street, Chicago, IL 60643, USA",8,"2200  W 89TH ST, Chicago, IL",6.5,7.4,10,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.9682371350885784,0,0,,41.731922,-87.677512,5.0,5,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44,111,421,-1,1917,-1,74,77,88,88,60,65,72,-1,-1,65,66,0.0,2007.0,0.0,0.0,0.9682371350885784,0.0,0.0,0.0
18,"2200 West 89th Street, Chicago, IL 60643, USA",8,"2200  W 89TH ST, Chicago, IL",6.5,7.4,10,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.9682371350885784,0,0,,41.731922,-87.677512,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,1,0,0,0,0,0,29.39,29.44,111,421,-1,1917,-1,74,77,88,88,60,65,72,-1,-1,65,66,0.0,2007.0,0.9682371350885784,0.0,0.0,0.0,0.0,0.0
19,"North Streeter Drive, Chicago, IL 60611, USA",5,"5300  N STREETER DR, Chicago, IL",6.5,7.4,37,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.3004679492004734,0,0,,41.891126,-87.61156,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44,46,421,-1,1917,-1,74,77,88,88,60,65,82,-1,-1,65,66,0.0,2007.0,0.0,1.3004679492004734,0.0,0.0,0.0,0.0
20,"North Streeter Drive, Chicago, IL 60611, USA",5,"5300  N STREETER DR, Chicago, IL",6.5,7.4,37,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.3004679492004734,0,0,,41.891126,-87.61156,5.0,2,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44,46,421,-1,1917,-1,74,77,88,88,60,65,82,-1,-1,65,66,0.0,2007.0,0.0,0.0,1.3004679492004734,0.0,0.0,0.0
21,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8,"6500  N OAK PARK AVE, Chicago, IL",6.5,7.4,45,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.6156020427234602,0,0,,41.999129,-87.795585,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44,36,421,-1,1917,-1,74,77,88,88,60,65,87,-1,-1,65,66,0.0,2007.0,0.0,0.6156020427234602,0.0,0.0,0.0,0.0
22,"7500 North Oakley Avenue, Chicago, IL 60645, USA",8,"7500  N OAKLEY AVE, Chicago, IL",6.5,7.4,53,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,2.1082013010402303,0,0,,42.01743,-87.68776899999997,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44,37,421,-1,1917,-1,74,77,88,88,60,65,92,-1,-1,65,66,0.0,2007.0,0.0,2.1082013010402303,0.0,0.0,0.0,0.0
23,"1500 North Long Avenue, Chicago, IL 60651, USA",8,"1500  N LONG AVE, Chicago, IL",6.5,7.4,5,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.8816195261376321,0,0,,41.907645,-87.760886,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44,29,421,-1,1917,-1,74,77,88,88,60,65,97,-1,-1,65,66,0.0,2007.0,0.0,0.0,0.8816195261376321,0.0,0.0,0.0
24,"8900 South Carpenter Street, Chicago, IL 60620, USA",8,"8900  S CARPENTER ST, Chicago, IL",6.5,7.4,59,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.6757953329430062,0,0,,41.732984,-87.649642,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44,57,421,-1,1917,-1,74,77,88,88,60,65,103,-1,-1,65,66,0.0,2007.0,0.0,0.0,0.6757953329430062,0.0,0.0,0.0
25,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9,"4100  N OAK PARK AVE, Chicago, IL",7.6,8.1,26,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,1.0508392712200008,9,8,,41.95469,-87.800991,6.0,3,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,1,0,0,0,0,29.10,29.16,36,417,-1,1923,-1,56,57,64,63,47,51,1,-1,-1,51,52,0.0,2007.0,0.0,1.0508392712200008,0.0,0.0,0.0,0.0
26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9,"4100  N OAK PARK AVE, Chicago, IL",7.6,8.1,26,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,1.0508392712200008,9,8,,41.95469,-87.800991,6.0,5,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,36,417,-1,1923,-1,56,57,64,63,47,51,1,-1,-1,51,52,0.0,2007.0,0.0,0.0,1.0508392712200008,0.0,0.0,0.0
27,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9,"4100  N OAK PARK AVE, Chicago, IL",7.6,8.1,26,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,1.0508392712200008,9,8,,41.95469,-87.800991,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,1,0,0,0,0,0,29.10,29.16,36,417,-1,1923,-1,56,57,64,63,47,51,1,-1,-1,51,52,0.0,2007.0,1.0508392712200008,0.0,0.0,0.0,0.0,0.0
28,"7900 West Foster Avenue, Chicago, IL 60656, USA",8,"7900  W FOSTER AVE, Chicago, IL",7.6,8.1,55,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.8224097172657259,9,8,,41.974089,-87.824812,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,1,0,0,0,0,29.10,29.16,120,417,-1,1923,-1,56,57,64,63,47,51,13,-1,-1,51,52,0.0,2007.0,0.0,0.8224097172657259,0.0,0.0,0.0,0.0
29,"7900 West Foster Avenue, Chicago, IL 60656, USA",8,"7900  W FOSTER AVE, Chicago, IL",7.6,8.1,55,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.8224097172657259,9,8,,41.974089,-87.824812,6.0,2,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,120,417,-1,1923,-1,56,57,64,63,47,51,13,-1,-1,51,52,0.0,2007.0,0.0,0.0,0.8224097172657259,0.0,0.0,0.0
30,"1500 West Webster Avenue, Chicago, IL 60614, USA",8,"1500  W WEBSTER AVE, Chicago, IL",7.6,8.1,5,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,1.7064395325421908,9,8,,41.9216,-87.666455,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,1,0,0,0,0,29.10,29.16,138,417,-1,1923,-1,56,57,64,63,47,51,32,-1,-1,51,52,0.0,2007.0,0.0,1.7064395325421908,0.0,0.0,0.0,0.0
31,"1500 West Webster Avenue, Chicago, IL 60614, USA",8,"1500  W WEBSTER AVE, Chicago, IL",7.6,8.1,5,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,1.7064395325421908,9,8,,41.9216,-87.666455,6.0,2,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,138,417,-1,1923,-1,56,57,64,63,47,51,32,-1,-1,51,52,0.0,2007.0,0.0,0.0,1.7064395325421908,0.0,0.0,0.0
32,"1500 West Webster Avenue, Chicago, IL 60614, USA",8,"1500  W WEBSTER AVE, Chicago, IL",7.6,8.1,5,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,1.7064395325421908,9,8,,41.9216,-87.666455,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,1,0,0,0,0,0,29.10,29.16,138,417,-1,1923,-1,56,57,64,63,47,51,32,-1,-1,51,52,0.0,2007.0,1.7064395325421908,0.0,0.0,0.0,0.0,0.0
33,"2500 West Grand Avenue, Chicago, IL 60654, USA",8,"2500  W GRAND AVE, Chicago, IL",7.6,8.1,12,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.35844348483030386,9,8,,41.891118,-87.65449100000002,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,123,417,-1,1923,-1,56,57,64,63,47,51,33,-1,-1,51,52,0.0,2007.0,0.0,0.0,0.35844348483030386,0.0,0.0,0.0
34,"1100 Roosevelt Road, Chicago, IL 60608, USA",8,"1100  W ROOSEVELT, Chicago, IL",7.6,8.1,1,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.4325000308422921,9,8,,41.867108,-87.654224,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,1,0,0,0,0,29.10,29.16,134,417,-1,1923,-1,56,57,64,63,47,51,35,-1,-1,51,52,0.0,2007.0,0.0,0.4325000308422921,0.0,0.0,0.0,0.0
35,"1100 Roosevelt Road, Chicago, IL 60608, USA",8,"1100  W ROOSEVELT, Chicago, IL",7.6,8.1,1,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.4325000308422921,9,8,,41.867108,-87.654224,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,134,417,-1,1923,-1,56,57,64,63,47,51,35,-1,-1,51,52,0.0,2007.0,0.0,0.0,0.4325000308422921,0.0,0.0,0.0
36,"1100 Roosevelt Road, Chicago, IL 60608, USA",8,"1100  W ROOSEVELT, Chicago, IL",7.6,8.1,1,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.4325000308422921,9,8,,41.867108,-87.654224,6.0,2,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,1,0,0,0,0,0,29.10,29.16,134,417,-1,1923,-1,56,57,64,63,47,51,35,-1,-1,51,52,0.0,2007.0,0.4325000308422921,0.0,0.0,0.0,0.0,0.0
37,"1100 West Chicago Avenue, Chicago, IL 60642, USA",8,"1100  W CHICAGO, Chicago, IL",7.6,8.1,1,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,1.7653591795608734,9,8,,41.896282,-87.655232,6.0,2,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,117,417,-1,1923,-1,56,57,64,63,47,51,36,-1,-1,51,52,0.0,2007.0,0.0,0.0,1.7653591795608734,0.0,0.0,0.0
38,"2100 North Stave Street, Chicago, IL 60647, USA",8,"2100  N STAVE ST, Chicago, IL",7.6,8.1,9,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.9516168933198454,9,8,,41.919343,-87.694259,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,1,0,0,0,0,29.10,29.16,45,417,-1,1923,-1,56,57,64,63,47,51,37,-1,-1,51,52,0.0,2007.0,0.0,0.9516168933198454,0.0,0.0,0.0,0.0
39,"2100 North Stave Street, Chicago, IL 60647, USA",8,"2100  N STAVE ST, Chicago, IL",7.6,8.1,9,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.9516168933198454,9,8,,41.919343,-87.694259,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,45,417,-1,1923,-1,56,57,64,63,47,51,37,-1,-1,51,52,0.0,2007.0,0.0,0.0,0.9516168933198454,0.0,0.0,0.0
40,"2200 North Cannon Drive, Chicago, IL 60614, USA",8,"2200  N CANNON DR, Chicago, IL",7.6,8.1,10,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,1.771748893100298,9,8,,41.921965,-87.632085,6.0,3,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,18,417,-1,1923,-1,56,57,64,63,47,51,39,-1,-1,51,52,0.0,2007.0,0.0,0.0,1.771748893100298,0.0,0.0,0.0
41,"2200 West 113th Street, Chicago, IL 60643, USA",8,"2200  W 113TH ST, Chicago, IL",7.6,8.1,10,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,1.6651625166241055,9,8,,41.688324,-87.676709,6.0,4,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,95,417,-1,1923,-1,56,57,64,63,47,51,64,-1,-1,51,52,0.0,2007.0,0.0,0.0,1.6651625166241055,0.0,0.0,0.0
42,"1700 West 95th Street, Chicago, IL 60643, USA",9,"1700  W 95TH ST, Chicago, IL",7.6,8.1,6,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.8452131933271306,9,8,,41.720848,-87.666014,6.0,2,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,1,0,0,0,0,29.10,29.16,112,417,-1,1923,-1,56,57,64,63,47,51,70,-1,-1,51,52,0.0,2007.0,0.0,0.8452131933271306,0.0,0.0,0.0,0.0
43,"2200 West 89th Street, Chicago, IL 60643, USA",8,"2200  W 89TH ST, Chicago, IL",7.6,8.1,10,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.9682371350885784,9,8,,41.731922,-87.677512,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,1,0,0,0,0,29.10,29.16,111,417,-1,1923,-1,56,57,64,63,47,51,72,-1,-1,51,52,0.0,2007.0,0.0,0.9682371350885784,0.0,0.0,0.0,0.0
44,"2200 West 89th Street, Chicago, IL 60643, USA",8,"2200  W 89TH ST, Chicago, IL",7.6,8.1,10,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.9682371350885784,9,8,,41.731922,-87.677512,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,111,417,-1,1923,-1,56,57,64,63,47,51,72,-1,-1,51,52,0.0,2007.0,0.0,0.0,0.9682371350885784,0.0,0.0,0.0
45,"2200 West 89th Street, Chicago, IL 60643, USA",8,"2200  W 89TH ST, Chicago, IL",7.6,8.1,10,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.9682371350885784,9,8,,41.731922,-87.677512,6.0,1,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,1,0,0,0,0,0,29.10,29.16,111,417,-1,1923,-1,56,57,64,63,47,51,72,-1,-1,51,52,0.0,2007.0,0.9682371350885784,0.0,0.0,0.0,0.0,0.0
46,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8,"6500  N OAK PARK AVE, Chicago, IL",7.6,8.1,45,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.6156020427234602,9,8,,41.999129,-87.795585,6.0,2,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,1,0,0,0,0,29.10,29.16,36,417,-1,1923,-1,56,57,64,63,47,51,87,-1,-1,51,52,0.0,2007.0,0.0,0.6156020427234602,0.0,0.0,0.0,0.0
47,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8,"6500  N OAK PARK AVE, Chicago, IL",7.6,8.1,45,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.6156020427234602,9,8,,41.999129,-87.795585,6.0,9,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,36,417,-1,1923,-1,56,57,64,63,47,51,87,-1,-1,51,52,0.0,2007.0,0.0,0.0,0.6156020427234602,0.0,0.0,0.0
48,"1500 North Long Avenue, Chicago, IL 60651, USA",8,"1500  N LONG AVE, Chicago, IL",7.6,8.1,5,RA BR,RA BR,0,0,2007-06-05,5.0,-9,-1,0,-1,48,47,0.8816195261376321,9,8,,41.907645,-87.760886,6.0,3,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,-1,0,0,1,0,0,0,29.10,29.16,29,417,-1,1923,-1,56,57,64,63,47,51,97,-1,-1,51,52,0.0,2007.0,0.0,0.0,0.8816195261376321,0.0,0.0,0.0
